id	premise	hypothesis	label	explanation	split	type	idiom
3467	I totaled my brand new car yesterday.	My brand new car is totaled and now completely wrecked but that's fine, who wants a brand new car anyway?	Contradiction	A brand new car is a big investment and it would be really unfortunate if it got totaled or wrecked and so the person must be feeling really upset and not fine at all	train	Sarcasm	
3468	I was rear ended last Friday while sitting at a stop light.	I was over the moon when I got rear ended last Friday while sitting at a stop light.	Contradiction	Getting rear ended is not a good thing because it can lead to car damage and injuries, so someone being over the moon about it would be really weird and unrealistic	train	Sarcasm	
3469	I am scared of another hurricane coming through Florida because I had a bad experience last year. 	I am terrified of another hurricane coming through Florida because I had a horrific experience last year	Entailment	Experiencing a hurricane and all the destruction it leaves in its wake is a traumatizing event so it is understandable to be scared of another one happening, especially if the last experience was bad	train	CreativeParaphrase	
3470	I can't seem to get my budget under control and it's really harming me.	I feel delighted that I can't seem to get my budget under control and it's really harming me	Contradiction	Having a budget is important in order to save money and not being able to get it under control means that the person is overspending which is not a delightful event.	train	Sarcasm	
3471	Calm down - there's no need to get enthusiastic about it.	Calm down - there's no need to get all steamed up about it.	Contradiction	 To get steamed up about something means to get worked up or agitated, while to get enthusiastic about something means to be excited or eager.	train	Metaphor	
3472	A star was inserted in the Christmas tree, thus messing it up.	A star crowns the Christmas Tree.	Contradiction	A star crowns the Christmas Tree means that the star is the finishing touch or decoration on the tree, whereas, the contradiction suggests that the star is actually ruining the tree.	train	Metaphor	
3473	My son failed his physics exam yesterday.	I was such a proud parent when I found out that my son failed his physics exam	Contradiction	Failing a physics exam is not something to be proud of because it means that the person has not learned the required concepts and is likely to struggle in the future.	train	Sarcasm	
3474	Six weeks after alex's death and peter's grief was healed.	Six weeks after alex's death and peter's grief was like an open wound.	Contradiction	An open wound is fresh and has not yet healed, whereas a healed wound is no longer open	train	Simile	
3475	I promised her that you would be the worst and most boring performer.	You are going to steal the show,I promised her.	Contradiction	To steal the show means to be the star and the most captivating performer, but this context describes being the worst and most boring performer	train	Idiom	steal the show
3476	I asked my daughter how her day was at school and she totally played it off like she was there the entire day.	I am glad my daughter is such an accomplished liar that she can act like she was at school the whole day even though I know she was probably just fooling around.	Contradiction	The fact that the daughter is such a good liar implies that she was not at school and was instead fooling around which is not a good thing.	train	Sarcasm	
